height,bip158_bytes
711793,33769
711794,31231
711795,27472
711796,23190
711797,31881
711798,35458
711799,22883
711800,8611
711801,28627
711802,15137
711803,34697
711804,23559
711805,24171
711806,32754
711807,24744
711808,20218
711809,15649
711810,18027
711811,39703
711812,6837
711813,47032
711814,42468
711815,35336
711816,32493
711817,29700
711818,31322
711819,35770
711820,32066
711821,34943
711822,34917
711823,35599
711824,33630
711825,35038
711826,38101
711827,37271
711828,35852
711829,33253
711830,34892
711831,29589
711832,35378
711833,32850
711834,37006
711835,36970
711836,34145
711837,34535
711838,31893
711839,30667
711840,28465
711841,23191
711842,22997
711843,36838
711844,35359
711845,28692
711846,36517
711847,5222
711848,14391
711849,37447
711850,35453
711851,11438
711852,35386
711853,7651
711854,1492
711855,36008
711856,34836
711857,28608
711858,35391
711859,15911
711860,33233
711861,26804
711862,8708
711863,13444
711864,31343
711865,32904
711866,37595
711867,36927
711868,39124
711869,40877
711870,34353
711871,36602
711872,32257
711873,36294
711874,32535
711875,30872
711876,29319
711877,34778
711878,35201
711879,38191
711880,30117
711881,8348
711882,37354
711883,20440
711884,29008
711885,10675
711886,30691
711887,20059
711888,7694
711889,35417
711890,10128
711891,20037
711892,12083
711893,13852
711894,1521
711895,13075
711896,9726
711897,1679
711898,37765
711899,11997
711900,2468
711901,16639
711902,619
711903,28899
711904,29855
711905,32563
711906,18370
711907,745
711908,31723
711909,35887
711910,11345
711911,27361
711912,8082
711913,12332
711914,24241
711915,2909
711916,35206
711917,31380
711918,13092
711919,27246
711920,3279
711921,33858
711922,37304
711923,34339
711924,34226
711925,23454
711926,33532
711927,38496
711928,15833
711929,1671
711930,26503
711931,3739
711932,25169
711933,22388
711934,30961
711935,37039
711936,23195
711937,32622
711938,34609
711939,26438
711940,30348
711941,34743
711942,36269
711943,35853
711944,33771
711945,35840
711946,19636
711947,33594
711948,22463
711949,34766
711950,26368
711951,16276
711952,34630
711953,17077
711954,9413
711955,4608
711956,11742
711957,25132
711958,35461
711959,36161
711960,20786
711961,32099
711962,48379
711963,38066
711964,35113
711965,39028
711966,37152
711967,35000
711968,38151
711969,28724
711970,29472
711971,30837
711972,35036
711973,30420
711974,35099
711975,34614
711976,32627
711977,36824
711978,34042
711979,37407
711980,35935
711981,39452
711982,37483
711983,31463
711984,32578
